Device Name,Entity ID,Domain,Area
iPad (2),device_tracker.ipad_2,device_tracker,Unassigned
iPhone,device_tracker.iphone,device_tracker,Unassigned
Nikki Iphone,device_tracker.nikki_iphone,device_tracker,Unassigned
Taylor Locked Down,device_tracker.taylor_locked_down,device_tracker,Unassigned
Taylor Steve,device_tracker.taylor_steve,device_tracker,Unassigned
Taylor Office,device_tracker.taylor_office,device_tracker,Office
Taylor Nikki,device_tracker.taylor_nikki,device_tracker,Unassigned
Taylor Smart Home,device_tracker.taylor_smart_home,device_tracker,Unassigned
Taylor Ulrich,device_tracker.taylor_ulrich,device_tracker,Ulrich's Room
Taylor Genevieve,device_tracker.taylor_genevieve,device_tracker,Genevieve's Room
Taylor Ex - Upstairs,device_tracker.taylor_ex_upstairs,device_tracker,Unassigned
Taylor Ex - Downstairs,device_tracker.taylor_ex_downstairs,device_tracker,Unassigned
Taylor iPad - Steve,device_tracker.taylor_ipad_steve,device_tracker,Unassigned
Taylor Steves-Air (Wireless),device_tracker.taylor_steves_air_wireless,device_tracker,Unassigned
Taylor S505 - Basement Storage (Wireless),device_tracker.taylor_s505_basement_storage_wireless,device_tracker,Basement
Taylor Office TV Lights (Wireless),device_tracker.taylor_office_tv_lights_wireless,device_tracker,Office
Taylor iPhone - Genevieve (Wireless),device_tracker.taylor_iphone_genevieve_wireless,device_tracker,Genevieve's Room
Taylor Ring-649a637B2EF5 (Wireless),device_tracker.taylor_ring_649a637b2ef5_wireless,device_tracker,Unassigned
Taylor HomePod - Kitchen (Wireless),device_tracker.taylor_homepod_kitchen_wireless,device_tracker,Kitchen
Taylor GE_Light_E32D (Wireless),device_tracker.taylor_ge_light_e32d_wireless,device_tracker,Unassigned
Taylor Ring-649a636870AB (Wireless),device_tracker.taylor_ring_649a636870ab_wireless,device_tracker,Unassigned
Taylor KS230 - Great Room Light Switch (Wireless),device_tracker.taylor_ks230_great_room_light_switch_wireless,device_tracker,Unassigned
Taylor 5c:47:5e:8e:2d:00 (Wireless),device_tracker.taylor_5c_47_5e_8e_2d_00_wireless,device_tracker,Unassigned
Taylor Sonos-38420B3CD790 (Wireless),device_tracker.taylor_sonos_38420b3cd790_wireless,device_tracker,Unassigned
