Device Name,Entity ID,Domain,Area
Genevieve's Light Energy,sensor.genevieve_s_light_energy,sensor,Genevieve's Room
Genevieve Lights,light.genevieve_lights,light,Genevieve's Room
Toggle Genevieve Temp Override,script.toggle_genevieve_temp_override,script,Genevieve's Room
Toggle Genevieve Pause Indefinitely,script.toggle_genevieve_pause_indefinitely,script,Genevieve's Room
Toggle Genevieve Enable Indefinitely,script.toggle_genevieve_enable_indefinitely,script,Genevieve's Room
Genevieve Area All Off,script.genevieve_area_all_off,script,Genevieve's Room
Signal Genevieve,script.signal_genevieve,script,Genevieve's Room
Test Genevieve Task System,script.test_genevieve_task_system,script,Genevieve's Room
Genevieve Override Mode,input_select.genevieve_internet_override_mode,input_select,Genevieve's Room
Genevieve Dog Walked Today,input_boolean.genevieve_dog_walked_today,input_boolean,Genevieve's Room
Genevieve Chores Done Today,input_boolean.genevieve_chores_done_today,input_boolean,Genevieve's Room
Resume Genevieve's Internet,input_boolean.genevieve_manual_resume,input_boolean,Genevieve's Room
Genevieve Temporary Override,input_boolean.genevieve_temp_override,input_boolean,Genevieve's Room
Signal Genevieve Override,input_boolean.signal_genevieve_override,input_boolean,Genevieve's Room
Genevieve's Light Power,sensor.genevieve_s_light_power,sensor,Genevieve's Room
Genevieve Internet Status,sensor.genevieve_internet_status,sensor,Genevieve's Room
Genevieve Task Status,sensor.genevieve_task_status,sensor,Genevieve's Room
Apple TV - Genevieve,media_player.apple_tv_genevieve,media_player,Genevieve's Room
Apple TV - Genevieve,remote.apple_tv_genevieve,remote,Genevieve's Room
Genevieve’s Fan temperature,sensor.genevieves_fan_temperature,sensor,Genevieve's Room
Genevieve’s Fan,fan.genevieves_fan,fan,Genevieve's Room
Genevieve’s Fan Display Auto Off,switch.genevieves_fan_display_auto_off,switch,Genevieve's Room
Genevieve’s Fan Panel Sound,switch.genevieves_fan_panel_sound,switch,Genevieve's Room
Taylor Genevieve Block Apps,binary_sensor.taylor_genevieve_block_apps,binary_sensor,Genevieve's Room
Taylor Genevieve Connected,binary_sensor.taylor_genevieve_connected,binary_sensor,Genevieve's Room
Taylor iPhone - Genevieve (Wireless) Connected,binary_sensor.taylor_iphone_genevieve_wireless_connected,binary_sensor,Genevieve's Room
