Device Name,Entity ID,Domain,Area
Office Light Energy,sensor.office_light_energy,sensor,Office
Office All Off,script.office_all_off,script,Office
Office Ambience,light.office_ambience,light,Office
Contact - Office Door Firmware,update.contact_office_door_firmware,update,Office
Contact - Office Door Door,binary_sensor.contact_office_door_door,binary_sensor,Office
Contact - Office Door Identify,button.contact_office_door_identify,button,Office
Contact - Office Door Battery,sensor.contact_office_door_battery,sensor,Office
Contact - Office Door Battery voltage,sensor.contact_office_door_voltage,sensor,Office
Contact - Office Door Battery type,sensor.contact_office_door_battery_type,sensor,Office
Office Light Power,sensor.office_light_power,sensor,Office
Office Fan temperature,sensor.office_fan_temperature,sensor,Office
Office Fan,fan.office_fan,fan,Office
Office Fan Horizontally Oscillating,switch.office_fan_horizontally_oscillating,switch,Office
Office Fan Vertically Oscillating,switch.office_fan_vertically_oscillating,switch,Office
Office Fan Panel Sound,switch.office_fan_panel_sound,switch,Office
Office TV Headphones connected,binary_sensor.office_tv_headphones_connected,binary_sensor,Office
Office TV Supports AirPlay,binary_sensor.office_tv_supports_airplay,binary_sensor,Office
Office TV Supports Ethernet,binary_sensor.office_tv_supports_ethernet,binary_sensor,Office
Office TV Supports find remote,binary_sensor.office_tv_supports_find_remote,binary_sensor,Office
Office TV,media_player.office_tv,media_player,Office
Office TV,remote.office_tv,remote,Office
Office TV Active app,sensor.office_tv_active_app,sensor,Office
Office TV Active app ID,sensor.office_tv_active_app_id,sensor,Office
Ring - Office Live view,camera.ring_office_live_view,camera,Office
Ring - Office Motion,event.ring_office_motion,event,Office
Ring - Office Volume,number.ring_office_volume,number,Office
Ring - Office Battery,sensor.ring_office_battery,sensor,Office
Ring - Office Last activity,sensor.ring_office_last_activity,sensor,Office
Ring - Office Siren,siren.ring_office_siren,siren,Office
Ring - Office Motion detection,switch.ring_office_motion_detection,switch,Office
Taylor Office Block Apps,binary_sensor.taylor_office_block_apps,binary_sensor,Office
Taylor Office Connected,binary_sensor.taylor_office_connected,binary_sensor,Office
Taylor Office TV Lights (Wireless) Connected,binary_sensor.taylor_office_tv_lights_wireless_connected,binary_sensor,Office
Taylor S505D - Office Light (Wireless) Connected,binary_sensor.taylor_s505d_office_light_wireless_connected,binary_sensor,Office
Taylor Office Floor Lamp Left (Wireless) Connected,binary_sensor.taylor_office_floor_lamp_left_wireless_connected,binary_sensor,Office
Taylor Office Floor Lamp Right (Wireless) Connected,binary_sensor.taylor_office_floor_lamp_right_wireless_connected,binary_sensor,Office
Taylor Dreo Office Fan (Wireless) Connected,binary_sensor.taylor_dreo_office_fan_wireless_connected,binary_sensor,Office
Taylor Ring - Office (Wireless) Connected,binary_sensor.taylor_ring_office_wireless_connected,binary_sensor,Office
Taylor Office TV (Wired) Connected,binary_sensor.taylor_office_tv_wired_connected,binary_sensor,Office
Taylor Office,device_tracker.taylor_office,device_tracker,Office
Taylor Office TV Lights (Wireless),device_tracker.taylor_office_tv_lights_wireless,device_tracker,Office
Taylor S505D - Office Light (Wireless),device_tracker.taylor_s505d_office_light_wireless,device_tracker,Office
Taylor Office Floor Lamp Left (Wireless),device_tracker.taylor_office_floor_lamp_left_wireless,device_tracker,Office
Taylor Office Floor Lamp Right (Wireless),device_tracker.taylor_office_floor_lamp_right_wireless,device_tracker,Office
Taylor Dreo Office Fan (Wireless),device_tracker.taylor_dreo_office_fan_wireless,device_tracker,Office
Taylor Ring - Office (Wireless),device_tracker.taylor_ring_office_wireless,device_tracker,Office
Taylor Office TV (Wired),device_tracker.taylor_office_tv_wired,device_tracker,Office
Taylor Office Connected Clients,sensor.taylor_office_connected_clients,sensor,Office
Taylor Office Last Active,sensor.taylor_office_last_active,sensor,Office
Taylor Office TV Lights (Wireless) IP Address,sensor.taylor_office_tv_lights_wireless_ip_address,sensor,Office
Taylor Office TV Lights (Wireless) Last Active,sensor.taylor_office_tv_lights_wireless_last_active,sensor,Office
Taylor Office TV Lights (Wireless) Signal Strength,sensor.taylor_office_tv_lights_wireless_signal_strength,sensor,Office
Taylor Office TV Lights (Wireless) Download Rate,sensor.taylor_office_tv_lights_wireless_download_rate,sensor,Office
Taylor Office TV Lights (Wireless) Upload Rate,sensor.taylor_office_tv_lights_wireless_upload_rate,sensor,Office
