Device Name,Entity ID,Domain,Area
Great Room Light Energy,sensor.great_room_light_energy,sensor,Unassigned
Rec Room Lights Energy,sensor.rec_room_lights_energy,sensor,Rec Room
Kitchen Sink Light Energy,sensor.kitchen_sink_light_energy,sensor,Kitchen
Front Porch Light Energy,sensor.front_porch_light_energy,sensor,Unassigned
Owner's Bedroom Light Energy,sensor.owner_s_bedroom_light_energy,sensor,Owner's Bedroom
Office Light Energy,sensor.office_light_energy,sensor,Office
Genevieve's Light Energy,sensor.genevieve_s_light_energy,sensor,Genevieve's Room
Ulrich Light Energy,sensor.ulrich_light_energy,sensor,Ulrich's Room
Hallway Light Energy,sensor.hallway_light_energy,sensor,Hallway
Main Bathroom Light Energy,sensor.main_bathroom_light_energy,sensor,Main Bathroom
UC1 Energy,sensor.uc1_energy,sensor,Unassigned
UC2 Energy,sensor.uc2_energy,sensor,Unassigned
UC3 Energy,sensor.uc3_energy,sensor,Unassigned
UC4 Energy,sensor.uc4_energy,sensor,Unassigned
UC5 Energy,sensor.uc5_energy,sensor,Unassigned
UC6 Energy,sensor.uc6_energy,sensor,Unassigned
Owner's Bathroom Sink Lights Energy,sensor.owner_s_bathroom_sink_lights_energy,sensor,Main Bathroom
Owner's Bathroom Fan Energy,sensor.owner_s_bathroom_fan_energy,sensor,Main Bathroom
Basement Bathroom Fan Energy,sensor.basement_bathroom_fan_energy,sensor,Main Bathroom
Storage Light Energy,sensor.storage_light_energy,sensor,Storage
Garage Coach Lights Energy,sensor.garage_coach_lights_energy,sensor,Garage
Deck Outer Lights Energy,sensor.deck_outer_lights_energy,sensor,Deck
Kitchen Light Energy,sensor.kitchen_light_energy,sensor,Kitchen
Backup Backup Manager state,sensor.backup_backup_manager_state,sensor,Unassigned
Backup Next scheduled automatic backup,sensor.backup_next_scheduled_automatic_backup,sensor,Unassigned
Backup Last successful automatic backup,sensor.backup_last_successful_automatic_backup,sensor,Unassigned
Backup Last attempted automatic backup,sensor.backup_last_attempted_automatic_backup,sensor,Unassigned
Sun Next dawn,sensor.sun_next_dawn,sensor,Unassigned
Sun Next dusk,sensor.sun_next_dusk,sensor,Unassigned
Sun Next midnight,sensor.sun_next_midnight,sensor,Unassigned
Sun Next noon,sensor.sun_next_noon,sensor,Unassigned
Sun Next rising,sensor.sun_next_rising,sensor,Unassigned
