Device Name,Entity ID,Domain,Area
Foyer,switch.foyer_light,switch,Foyer
Office Fan Horizontally Oscillating,switch.office_fan_horizontally_oscillating,switch,Office
Office Fan Vertically Oscillating,switch.office_fan_vertically_oscillating,switch,Office
Office Fan Panel Sound,switch.office_fan_panel_sound,switch,Office
Steve’s Fan Horizontally Oscillating,switch.steves_fan_horizontally_oscillating,switch,Unassigned
Steve’s Fan Vertically Oscillating,switch.steves_fan_vertically_oscillating,switch,Unassigned
Steve’s Fan Panel Sound,switch.steves_fan_panel_sound,switch,Unassigned
Genevieve’s Fan Display Auto Off,switch.genevieves_fan_display_auto_off,switch,Genevieve's Room
Genevieve’s Fan Panel Sound,switch.genevieves_fan_panel_sound,switch,Genevieve's Room
Ring - Downstairs Sofa Motion detection,switch.ring_downstairs_sofa_motion_detection,switch,Unassigned
Ring - Backyard Motion detection,switch.ring_backyard_motion_detection,switch,Unassigned
Ring - Office Motion detection,switch.ring_office_motion_detection,switch,Office
Ring - Foyer Motion detection,switch.ring_foyer_motion_detection,switch,Foyer
Ring - Front Motion detection,switch.ring_front_motion_detection,switch,Unassigned
Ring - Garage Motion detection,switch.ring_garage_motion_detection,switch,Garage
Ring - Doorbell Motion detection,switch.ring_doorbell_motion_detection,switch,Unassigned
Main Bathroom Light Auto-update enabled,switch.main_bathroom_light_auto_update_enabled,switch,Main Bathroom
Main Bathroom Light LED,switch.main_bathroom_light_led,switch,Main Bathroom
Kitchen Light LED,switch.kitchen_light_led,switch,Kitchen
Garage Coach Lights Auto-update enabled,switch.garage_coach_lights_auto_update_enabled,switch,Garage
Garage Coach Lights LED,switch.garage_coach_lights_led,switch,Garage
Hallway Light LED,switch.hallway_light_led,switch,Hallway
Great Room Light LED,switch.great_room_light_led,switch,Unassigned
Basement Steps LED,switch.basement_steps_led,switch,Basement
Laundry,switch.laundry_light,switch,Laundry Room
Laundry Light Auto-off enabled,switch.laundry_light_auto_off_enabled,switch,Laundry Room
Laundry Light Auto-update enabled,switch.laundry_light_auto_update_enabled,switch,Laundry Room
Laundry Light LED,switch.laundry_light_led,switch,Laundry Room
Deck Middle Light Auto-update enabled,switch.deck_middle_light_auto_update_enabled,switch,Deck
Deck Middle Light LED,switch.deck_middle_light_led,switch,Deck
Owner’s Bedroom Light Auto-update enabled,switch.owner_s_bedroom_light_auto_update_enabled,switch,Owner's Bedroom
Owner’s Bedroom Light LED,switch.owner_s_bedroom_light_led,switch,Owner's Bedroom
Owner's Bathroom Shower Light Auto-update enabled,switch.owners_bathroom_shower_light_auto_update_enabled,switch,Main Bathroom
Owner's Bathroom Shower Light LED,switch.owners_bathroom_shower_light_led,switch,Main Bathroom
Storage,switch.storage_light,switch,Storage
Storage Light Auto-off enabled,switch.storage_light_auto_off_enabled,switch,Storage
Storage Light Auto-update enabled,switch.storage_light_auto_update_enabled,switch,Storage
Storage Light LED,switch.storage_light_led,switch,Storage
Deck Outer Lights Auto-update enabled,switch.deck_outer_lights_auto_update_enabled,switch,Deck
Deck Outer Lights LED,switch.deck_outer_lights_led,switch,Deck
Taylor Ad Blocking,switch.taylor_ad_blocking,switch,Unassigned
Taylor Backup Internet Enabled,switch.taylor_backup_internet_enabled,switch,Unassigned
Taylor Band Steering,switch.taylor_band_steering,switch,Unassigned
Taylor Advanced Security,switch.taylor_advanced_security,switch,Unassigned
Taylor Dynamic DNS,switch.taylor_dynamic_dns,switch,Unassigned
Taylor Local DNS Caching,switch.taylor_local_dns_caching,switch,Unassigned
Taylor Guest Network,switch.taylor_guest_network,switch,Unassigned
Taylor IPv6 Enabled,switch.taylor_ipv6_enabled,switch,Unassigned
Taylor 5 GHz Band Paused,switch.taylor_5_ghz_band_paused,switch,Unassigned
Taylor Smart Queue Management,switch.taylor_smart_queue_management,switch,Unassigned
Taylor Thread Enabled,switch.taylor_thread_enabled,switch,Unassigned
Taylor UPnP,switch.taylor_upnp,switch,Unassigned
Taylor WPA3,switch.taylor_wpa3,switch,Unassigned
Taylor Locked Down Ad Blocking,switch.taylor_locked_down_ad_blocking,switch,Unassigned
Taylor Locked Down Gaming Content Filter,switch.taylor_locked_down_gaming_content_filter,switch,Unassigned
Taylor Locked Down Illegal or Criminal Content Filter,switch.taylor_locked_down_illegal_or_criminal_content_filter,switch,Unassigned
Taylor Locked Down Chat and Messaging Content Filter,switch.taylor_locked_down_chat_and_messaging_content_filter,switch,Unassigned
Taylor Locked Down Adult Content Filter,switch.taylor_locked_down_adult_content_filter,switch,Unassigned
Taylor Locked Down Shopping Content Filter,switch.taylor_locked_down_shopping_content_filter,switch,Unassigned
Taylor Locked Down Social Media Content Filter,switch.taylor_locked_down_social_media_content_filter,switch,Unassigned
Taylor Locked Down Streaming Content Filter,switch.taylor_locked_down_streaming_content_filter,switch,Unassigned
Taylor Locked Down Violent Content Filter,switch.taylor_locked_down_violent_content_filter,switch,Unassigned
Taylor Locked Down Paused,switch.taylor_locked_down_paused,switch,Unassigned
Taylor Locked Down SafeSearch Content Filter,switch.taylor_locked_down_safesearch_content_filter,switch,Unassigned
Taylor Locked Down YouTube Restricted Content Filter,switch.taylor_locked_down_youtube_restricted_content_filter,switch,Unassigned
Taylor Steve Ad Blocking,switch.taylor_steve_ad_blocking,switch,Unassigned
Taylor Steve Gaming Content Filter,switch.taylor_steve_gaming_content_filter,switch,Unassigned
Taylor Steve Illegal or Criminal Content Filter,switch.taylor_steve_illegal_or_criminal_content_filter,switch,Unassigned
Taylor Steve Chat and Messaging Content Filter,switch.taylor_steve_chat_and_messaging_content_filter,switch,Unassigned
Taylor Steve Adult Content Filter,switch.taylor_steve_adult_content_filter,switch,Unassigned
Taylor Steve Shopping Content Filter,switch.taylor_steve_shopping_content_filter,switch,Unassigned
Taylor Steve Social Media Content Filter,switch.taylor_steve_social_media_content_filter,switch,Unassigned
Taylor Steve Streaming Content Filter,switch.taylor_steve_streaming_content_filter,switch,Unassigned
Taylor Steve Violent Content Filter,switch.taylor_steve_violent_content_filter,switch,Unassigned
Taylor Steve Paused,switch.taylor_steve_paused,switch,Unassigned
Taylor Steve SafeSearch Content Filter,switch.taylor_steve_safesearch_content_filter,switch,Unassigned
Taylor Steve YouTube Restricted Content Filter,switch.taylor_steve_youtube_restricted_content_filter,switch,Unassigned
Taylor Office Ad Blocking,switch.taylor_office_ad_blocking,switch,Office
Taylor Office Gaming Content Filter,switch.taylor_office_gaming_content_filter,switch,Office
Taylor Office Illegal or Criminal Content Filter,switch.taylor_office_illegal_or_criminal_content_filter,switch,Office
Taylor Office Chat and Messaging Content Filter,switch.taylor_office_chat_and_messaging_content_filter,switch,Office
Taylor Office Adult Content Filter,switch.taylor_office_adult_content_filter,switch,Office
Taylor Office Shopping Content Filter,switch.taylor_office_shopping_content_filter,switch,Office
Taylor Office Social Media Content Filter,switch.taylor_office_social_media_content_filter,switch,Office
Taylor Office Streaming Content Filter,switch.taylor_office_streaming_content_filter,switch,Office
Taylor Office Violent Content Filter,switch.taylor_office_violent_content_filter,switch,Office
Taylor Office Paused,switch.taylor_office_paused,switch,Office
Taylor Office SafeSearch Content Filter,switch.taylor_office_safesearch_content_filter,switch,Office
Taylor Office YouTube Restricted Content Filter,switch.taylor_office_youtube_restricted_content_filter,switch,Office
Taylor Nikki Ad Blocking,switch.taylor_nikki_ad_blocking,switch,Unassigned
Taylor Nikki Gaming Content Filter,switch.taylor_nikki_gaming_content_filter,switch,Unassigned
Taylor Nikki Illegal or Criminal Content Filter,switch.taylor_nikki_illegal_or_criminal_content_filter,switch,Unassigned
