Device Name,Entity ID,Domain,Area
Ulrich Light Energy,sensor.ulrich_light_energy,sensor,Ulrich's Room
Ulrich Lights,light.ulrich_lights,light,Ulrich's Room
Ulrich Area All Off,script.ulrich_area_all_off,script,Ulrich's Room
Signal Ulrich,script.signal_ulrich,script,Ulrich's Room
Test Ulrich Task System,script.test_ulrich_task_system,script,Ulrich's Room
Ulrich Internet Paused,input_boolean.ulrich_internet_paused,input_boolean,Ulrich's Room
Ulrich Dog Walked Today,input_boolean.ulrich_dog_walked_today,input_boolean,Ulrich's Room
Ulrich Chores Done Today,input_boolean.ulrich_chores_done_today,input_boolean,Ulrich's Room
Signal Ulrich Override,input_boolean.signal_ulrich_override,input_boolean,Ulrich's Room
Ulrich Light Power,sensor.ulrich_light_power,sensor,Ulrich's Room
Ulrich Internet Status,sensor.ulrich_internet_status,sensor,Ulrich's Room
Ulrich Task Status,sensor.ulrich_task_status,sensor,Ulrich's Room
Taylor Ulrich Block Apps,binary_sensor.taylor_ulrich_block_apps,binary_sensor,Ulrich's Room
Taylor Ulrich Connected,binary_sensor.taylor_ulrich_connected,binary_sensor,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless) Connected,binary_sensor.taylor_s505_ulrichs_closet_switch_wireless_connected,binary_sensor,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless) Connected,binary_sensor.taylor_s505d_ulrichs_light_switch_wireless_connected,binary_sensor,Ulrich's Room
Taylor Switch - Ulrich (Wireless) Connected,binary_sensor.taylor_switch_ulrich_wireless_connected,binary_sensor,Ulrich's Room
Taylor Ulrich,device_tracker.taylor_ulrich,device_tracker,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless),device_tracker.taylor_s505_ulrichs_closet_switch_wireless,device_tracker,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless),device_tracker.taylor_s505d_ulrichs_light_switch_wireless,device_tracker,Ulrich's Room
Taylor Switch - Ulrich (Wireless),device_tracker.taylor_switch_ulrich_wireless,device_tracker,Ulrich's Room
Taylor Ulrich Connected Clients,sensor.taylor_ulrich_connected_clients,sensor,Ulrich's Room
Taylor Ulrich Last Active,sensor.taylor_ulrich_last_active,sensor,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless) IP Address,sensor.taylor_s505_ulrichs_closet_switch_wireless_ip_address,sensor,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless) Last Active,sensor.taylor_s505_ulrichs_closet_switch_wireless_last_active,sensor,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless) Signal Strength,sensor.taylor_s505_ulrichs_closet_switch_wireless_signal_strength,sensor,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless) Download Rate,sensor.taylor_s505_ulrichs_closet_switch_wireless_download_rate,sensor,Ulrich's Room
Taylor S505 - Ulrich’s Closet Switch (Wireless) Upload Rate,sensor.taylor_s505_ulrichs_closet_switch_wireless_upload_rate,sensor,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless) IP Address,sensor.taylor_s505d_ulrichs_light_switch_wireless_ip_address,sensor,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless) Last Active,sensor.taylor_s505d_ulrichs_light_switch_wireless_last_active,sensor,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless) Signal Strength,sensor.taylor_s505d_ulrichs_light_switch_wireless_signal_strength,sensor,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless) Download Rate,sensor.taylor_s505d_ulrichs_light_switch_wireless_download_rate,sensor,Ulrich's Room
Taylor S505D - Ulrich’s Light Switch (Wireless) Upload Rate,sensor.taylor_s505d_ulrichs_light_switch_wireless_upload_rate,sensor,Ulrich's Room
Taylor Switch - Ulrich (Wireless) IP Address,sensor.taylor_switch_ulrich_wireless_ip_address,sensor,Ulrich's Room
Taylor Switch - Ulrich (Wireless) Last Active,sensor.taylor_switch_ulrich_wireless_last_active,sensor,Ulrich's Room
Taylor Switch - Ulrich (Wireless) Signal Strength,sensor.taylor_switch_ulrich_wireless_signal_strength,sensor,Ulrich's Room
Taylor Switch - Ulrich (Wireless) Download Rate,sensor.taylor_switch_ulrich_wireless_download_rate,sensor,Ulrich's Room
Taylor Switch - Ulrich (Wireless) Upload Rate,sensor.taylor_switch_ulrich_wireless_upload_rate,sensor,Ulrich's Room
Taylor Ulrich Ad Blocking,switch.taylor_ulrich_ad_blocking,switch,Ulrich's Room
Taylor Ulrich Gaming Content Filter,switch.taylor_ulrich_gaming_content_filter,switch,Ulrich's Room
Taylor Ulrich Illegal or Criminal Content Filter,switch.taylor_ulrich_illegal_or_criminal_content_filter,switch,Ulrich's Room
Taylor Ulrich Chat and Messaging Content Filter,switch.taylor_ulrich_chat_and_messaging_content_filter,switch,Ulrich's Room
Taylor Ulrich Adult Content Filter,switch.taylor_ulrich_adult_content_filter,switch,Ulrich's Room
Taylor Ulrich Shopping Content Filter,switch.taylor_ulrich_shopping_content_filter,switch,Ulrich's Room
Taylor Ulrich Social Media Content Filter,switch.taylor_ulrich_social_media_content_filter,switch,Ulrich's Room
Taylor Ulrich Streaming Content Filter,switch.taylor_ulrich_streaming_content_filter,switch,Ulrich's Room
Taylor Ulrich Violent Content Filter,switch.taylor_ulrich_violent_content_filter,switch,Ulrich's Room
