Device Name,Entity ID,Domain,Area
Home Assistant Supervisor Update,update.home_assistant_supervisor_update,update,Unassigned
Home Assistant Core Update,update.home_assistant_core_update,update,Unassigned
Matter Server Update,update.matter_server_update,update,Unassigned
Advanced SSH & Web Terminal Update,update.advanced_ssh_web_terminal_update,update,Unassigned
Govee to MQTT Bridge Update,update.govee_to_mqtt_bridge_update,update,Unassigned
Mosquitto broker Update,update.mosquitto_broker_update,update,Unassigned
File editor Update,update.file_editor_update,update,Unassigned
Claude Terminal Update,update.claude_terminal_update,update,Unassigned
Home Assistant Operating System Update,update.home_assistant_operating_system_update,update,Unassigned
Home Assistant,conversation.home_assistant,conversation,Unassigned
Great Room Light Energy,sensor.great_room_light_energy,sensor,Unassigned
Front Porch Light Energy,sensor.front_porch_light_energy,sensor,Unassigned
UC1 Energy,sensor.uc1_energy,sensor,Unassigned
UC2 Energy,sensor.uc2_energy,sensor,Unassigned
UC3 Energy,sensor.uc3_energy,sensor,Unassigned
UC4 Energy,sensor.uc4_energy,sensor,Unassigned
UC5 Energy,sensor.uc5_energy,sensor,Unassigned
UC6 Energy,sensor.uc6_energy,sensor,Unassigned
Backup Automatic backup,event.backup_automatic_backup,event,Unassigned
Backup Backup Manager state,sensor.backup_backup_manager_state,sensor,Unassigned
Backup Next scheduled automatic backup,sensor.backup_next_scheduled_automatic_backup,sensor,Unassigned
Backup Last successful automatic backup,sensor.backup_last_successful_automatic_backup,sensor,Unassigned
Backup Last attempted automatic backup,sensor.backup_last_attempted_automatic_backup,sensor,Unassigned
Remote UI,binary_sensor.remote_ui,binary_sensor,Unassigned
Home Assistant Cloud,stt.home_assistant_cloud,stt,Unassigned
Home Assistant Cloud,tts.home_assistant_cloud,tts,Unassigned
Owners Suite Lights,light.owners_suite_lights,light,Unassigned
Outdoor All,light.outdoor_all,light,Unassigned
Front Entrance Lights,light.front_entrance_lights,light,Unassigned
Home,zone.home,zone,Unassigned
Restart Home Assistant,script.restart_home_assistant,script,Unassigned
Toggle Upstairs Temp Override,script.toggle_upstairs_temp_override,script,Unassigned
Toggle Upstairs Pause Indefinitely,script.toggle_upstairs_pause_indefinitely,script,Unassigned
Toggle Upstairs Enable Indefinitely,script.toggle_upstairs_enable_indefinitely,script,Unassigned
Toggle Downstairs Temp Override,script.toggle_downstairs_temp_override,script,Unassigned
Toggle Downstairs Pause Indefinitely,script.toggle_downstairs_pause_indefinitely,script,Unassigned
Toggle Downstairs Enable Indefinitely,script.toggle_downstairs_enable_indefinitely,script,Unassigned
Owner's Suite All Off,script.owners_suite_all_off,script,Unassigned
Signal Kids,script.signal_kids,script,Unassigned
Test Upstairs Override Modes,script.test_upstairs_override_modes,script,Unassigned
Test Temporary Override System,script.test_temp_override_system,script,Unassigned
Test Entity Availability,script.test_entity_availability,script,Unassigned
Test Schedule Logic,script.test_schedule_logic,script,Unassigned
Undercabinet,light.undercabinet,light,Unassigned
Climate Current Mode,input_select.climate_current_mode,input_select,Unassigned
Climate Outdoor Data Source,input_select.climate_outdoor_data_source,input_select,Unassigned
Upstairs Override Mode,input_select.upstairs_internet_override_mode,input_select,Unassigned
Downstairs Override Mode,input_select.downstairs_internet_override_mode,input_select,Unassigned
Climate Best Available Outdoor,input_number.climate_outdoor_temperature_best,input_number,Unassigned
Manual Override Hours,input_number.manual_override_hours_2,input_number,Unassigned
Climate Automation Enabled,input_boolean.climate_automation_enabled,input_boolean,Unassigned
Climate Manual Override Active,input_boolean.climate_manual_override_active,input_boolean,Unassigned
Climate Outdoor Sensors Available,input_boolean.climate_outdoor_sensors_available,input_boolean,Unassigned
Climate Automation Coordination Lock,input_boolean.climate_automation_coordination_lock,input_boolean,Unassigned
TV Kill Switch Active,input_boolean.tv_kill_switch_active,input_boolean,Unassigned
Upstairs Temporary Override,input_boolean.upstairs_temp_override,input_boolean,Unassigned
Downstairs Temporary Override,input_boolean.downstairs_temp_override,input_boolean,Unassigned
Signal Kids Override,input_boolean.signal_kids_override,input_boolean,Unassigned
Kids Notification System Disabled,input_boolean.kids_notification_system_disabled,input_boolean,Unassigned
Resume Climate Automation,input_button.climate_resume_automation,input_button,Unassigned
Force Day Schedule,input_button.climate_force_day_schedule,input_button,Unassigned
Force Night Schedule,input_button.climate_force_night_schedule,input_button,Unassigned
Check Sensors Now,input_button.climate_force_sensor_check,input_button,Unassigned
Export Entities,input_button.export_entities,input_button,Unassigned
Last Manual Thermostat Change,input_datetime.last_manual_thermostat_change,input_datetime,Unassigned
Climate Last Outdoor Reading,input_datetime.climate_last_outdoor_reading,input_datetime,Unassigned
Climate Priority Automation,input_text.climate_priority_automation,input_text,Unassigned
Climate Logic Reason,input_text.climate_logic_reason,input_text,Unassigned
Last Climate Action,input_text.last_climate_action,input_text,Unassigned
Climate Sensor Status,input_text.climate_sensor_status,input_text,Unassigned
Weather Hot Days Ahead,input_text.weather_hot_days_ahead,input_text,Unassigned
Manual Override Duration (Hours),input_number.manual_override_hours,input_number,Unassigned
Client Automation Enabled,input_boolean.client_automation_enabled,input_boolean,Unassigned
Climate Section Open,input_boolean.climate_section_open,input_boolean,Unassigned
und,input_button.und,input_button,Unassigned
Steve Taylor,person.steve_taylor,person,Unassigned
Nikki Taylor,person.nikki_taylor,person,Unassigned
Sun,sun.sun,sun,Unassigned
Sun Next dawn,sensor.sun_next_dawn,sensor,Unassigned
Sun Next dusk,sensor.sun_next_dusk,sensor,Unassigned
Sun Next midnight,sensor.sun_next_midnight,sensor,Unassigned
Sun Next noon,sensor.sun_next_noon,sensor,Unassigned
Sun Next rising,sensor.sun_next_rising,sensor,Unassigned
Sun Next setting,sensor.sun_next_setting,sensor,Unassigned
UC5 Firmware,update.uc5_firmware,update,Unassigned
UC5 Identify,button.uc5_identify,button,Unassigned
UC5,light.uc5,light,Unassigned
UC5 On level,number.uc5_on_level,number,Unassigned
UC5 On transition time,number.uc5_on_transition_time,number,Unassigned
UC5 Off transition time,number.uc5_off_transition_time,number,Unassigned
UC5 Power-on behavior on startup,select.uc5_power_on_behavior_on_startup,select,Unassigned
UC1 Firmware,update.uc1_firmware,update,Unassigned
UC1 Identify,button.uc1_identify,button,Unassigned
UC1,light.uc1,light,Unassigned
UC1 On level,number.uc1_on_level,number,Unassigned
UC1 On transition time,number.uc1_on_transition_time,number,Unassigned
UC1 Off transition time,number.uc1_off_transition_time,number,Unassigned
UC1 Power-on behavior on startup,select.uc1_power_on_behavior_on_startup,select,Unassigned
UC6 Firmware,update.uc6_firmware,update,Unassigned
UC6 Identify,button.uc6_identify,button,Unassigned
UC6,light.uc6,light,Unassigned
UC6 On level,number.uc6_on_level,number,Unassigned
UC6 On transition time,number.uc6_on_transition_time,number,Unassigned
UC6 Off transition time,number.uc6_off_transition_time,number,Unassigned
UC6 Power-on behavior on startup,select.uc6_power_on_behavior_on_startup,select,Unassigned
Aqara Smart Lock U200 Firmware,update.aqara_smart_lock_u200_firmware,update,Unassigned
Aqara Smart Lock U200 Identify,button.aqara_smart_lock_u200_identify,button,Unassigned
Aqara Smart Lock U200,lock.aqara_smart_lock_u200,lock,Unassigned
Aqara Smart Lock U200 Battery,sensor.aqara_smart_lock_u200_battery,sensor,Unassigned
Aqara Smart Lock U200 Battery voltage,sensor.aqara_smart_lock_u200_voltage,sensor,Unassigned
UC2 Firmware,update.uc2_firmware,update,Unassigned
UC2 Identify,button.uc2_identify,button,Unassigned
UC2,light.uc2,light,Unassigned
UC2 On level,number.uc2_on_level,number,Unassigned
UC2 On transition time,number.uc2_on_transition_time,number,Unassigned
UC2 Off transition time,number.uc2_off_transition_time,number,Unassigned
UC2 Power-on behavior on startup,select.uc2_power_on_behavior_on_startup,select,Unassigned
UC4 Firmware,update.uc4_firmware,update,Unassigned
UC4 Identify,button.uc4_identify,button,Unassigned
UC4,light.uc4,light,Unassigned
UC4 On level,number.uc4_on_level,number,Unassigned
UC4 On transition time,number.uc4_on_transition_time,number,Unassigned
UC4 Off transition time,number.uc4_off_transition_time,number,Unassigned
UC4 Power-on behavior on startup,select.uc4_power_on_behavior_on_startup,select,Unassigned
UC3 Firmware,update.uc3_firmware,update,Unassigned
UC3 Identify,button.uc3_identify,button,Unassigned
UC3,light.uc3,light,Unassigned
UC3 On level,number.uc3_on_level,number,Unassigned
UC3 On transition time,number.uc3_on_transition_time,number,Unassigned
UC3 Off transition time,number.uc3_off_transition_time,number,Unassigned
UC3 Power-on behavior on startup,select.uc3_power_on_behavior_on_startup,select,Unassigned
Shopping List,todo.shopping_list,todo,Unassigned
Great Room Light Power,sensor.great_room_light_power,sensor,Unassigned
Front Porch Light Power,sensor.front_porch_light_power,sensor,Unassigned
UC1 Power,sensor.uc1_power,sensor,Unassigned
UC2 Power,sensor.uc2_power,sensor,Unassigned
UC3 Power,sensor.uc3_power,sensor,Unassigned
UC4 Power,sensor.uc4_power,sensor,Unassigned
UC5 Power,sensor.uc5_power,sensor,Unassigned
